DOY,forc_st,forc_npp,forc_sw
171,18.42621799229549,5.73643216722061,0.329
172,18.44448738349625,5.64073911145051,0.324
173,18.916152450090745,5.54504605568041,0.322
174,19.052122587968217,5.44935299991031,0.361
175,18.830040964952207,5.3536599441402,0.356
176,19.336322360953464,5.2579668883701,0.348
177,19.89403222146585,5.1622738326,0.34
178,20.336349134001825,5.12383811247702,0.344
179,19.839704209328783,5.08540239235403,0.347
180,19.532863956393367,5.04696667223105,0.338
181,20.12600456621005,5.00853095210807,0.33
182,20.808610922275097,4.97009523198509,0.321
183,21.36703821656051,4.93165951186211,0.316
184,21.5062243502052,4.89322379173913,0.345
185,21.048030958342817,4.85478807161615,0.334
186,20.99460259621954,4.90471488332229,0.339
187,21.61456398640997,4.95464169502843,0.351
188,21.85743764172336,5.00456850673457,0.353
189,21.658767341369114,5.05449531844071,0.345
190,21.727886363636365,5.10442213014685,0.385
191,21.303765026083013,5.15434894185299,0.373
192,20.873984108967083,5.20427575355913,0.362
193,21.06740807989106,5.25420256526527,0.354
194,21.582970027247956,5.1071958419083,0.349
195,21.89328645951463,4.96018911855133,0.341
196,21.90920426207209,4.81318239519436,0.334
197,21.840718835304823,4.66617567183739,0.356
198,21.80125800548948,4.51916894848042,0.383
199,22.368805460750853,4.37216222512346,0.366
200,22.687117260149694,4.22515550176649,0.357
201,22.863854875283447,4.07814877840952,0.348
202,23.227933846850927,4.1484821837892,0.35
203,23.272803632236094,4.21881558916888,0.357
204,23.417295454545453,4.28914899454856,0.346
205,23.39011337868481,4.35948239992824,0.338
206,23.72744786944696,4.42981580530793,0.339
207,23.330837304288632,4.50014921068761,0.346
208,23.06248866727108,4.57048261606729,0.34
209,23.436802721088437,4.64081602144697,0.342
210,23.26230140717204,4.66657191637474,0.356
211,23.129496238887626,4.69232781130252,0.346
212,22.782893539581437,4.71808370623029,0.34
213,22.701954545454544,4.74383960115806,0.341
214,23.027039309247897,4.76959549608583,0.332
215,23.13631006346328,4.7953513910136,0.322
216,23.323865698729584,4.82110728594137,0.329
217,23.3841038487816,4.84686318086914,0.385
218,23.38679245283019,4.81456925107509,0.38
219,23.682274171584204,4.78227532128104,0.363
220,24.02462551066727,4.74998139148699,0.353
221,24.258888888888887,4.71768746169294,0.344
222,24.243628117913833,4.68539353189888,0.355
223,23.63482993197279,4.65309960210483,0.373
224,23.076830650646112,4.62080567231078,0.357
225,22.06019043300839,4.58851174251673,0.347
226,21.66122818944029,4.52887693964551,0.339
227,21.610117967332123,4.46924213677428,0.335
228,21.379995463823995,4.40960733390306,0.328
229,21.20009066183137,4.34997253103184,0.321
230,21.04016764839148,4.29033772816061,0.317
231,21.43952380952381,4.23070292528939,0.31
232,21.83573532744165,4.17106812241817,0.303
233,22.006705935659262,4.11143331954694,0.301
234,22.27227386080254,4.15521834092415,0.313
235,22.400907235200723,4.19900336230136,0.308
236,22.207165532879817,4.24278838367857,0.3
237,22.2130444646098,4.28657340505579,0.293
